Par,Year,Region,Akvakultur,Bakgrunn,Befolkning,Industri,Jordbruk,Menneskeskapt,Totalt,Urban
Tot-N,1995,Glomma,inf,120.52306261944526,113.8803919772873,80.23529411764706,103.165927837944,106.32163228317074,110.28373223670935,100.0
Tot-N,1996,Glomma,inf,95.40124997847833,105.4675336569283,39.55080213903744,101.92694012681669,101.25872914334452,99.6238361981994,100.0
Tot-N,1997,Glomma,inf,111.97809955062756,102.17968678450407,48.62032085561497,100.66775152909489,99.59885921424383,103.0520672194625,100.0
Tot-N,1998,Glomma,inf,117.00900466589762,97.18838721494642,49.64705882352941,99.41417428876044,97.06740764433071,102.63122495844422,100.0
Tot-N,1999,Glomma,inf,126.23060897711815,94.68449491711695,57.711229946524064,98.17406430615564,95.67674183058799,104.20169682062318,100.0
Tot-N,2000,Glomma,inf,138.13295225633166,84.8374393259456,79.59358288770053,96.91824252286628,92.0324910709526,104.89541397234738,100.0
Tot-N,2001,Glomma,inf,120.37843701038204,79.61168605183624,89.45454545454545,96.02491442679982,89.90484567407644,98.40694870144219,100.0
Tot-N,2002,Glomma,,111.01737229042199,65.67451231797784,96.14973262032086,92.40783345491275,82.88621461698385,90.73522488157806,100.0
Tot-N,2003,Glomma,,105.36664313630963,69.23894129499038,78.97326203208556,93.47623590146458,84.28154485846792,90.1644935960875,100.0
Tot-N,2004,Glomma,,107.41378419793047,67.45306346735049,115.12299465240643,92.75573761292857,84.33018817634202,90.77077548353623,100.0
Tot-N,2005,Glomma,inf,109.46264699299253,67.40360838904661,86.84491978609626,89.27108467538298,81.41558718481795,89.24113877225516,100.0
Tot-N,2006,Glomma,inf,115.81584339112618,75.86225844857587,90.03208556149733,95.48285730318165,88.23231515539207,95.92849524871009,100.0
Tot-N,2007,Glomma,inf,119.88429951274942,76.6407180144702,80.64171122994652,94.55698333426857,87.90114078575617,96.82494691430382,100.0
Tot-N,2008,Glomma,,128.5773316575128,76.32750251854567,102.58823529411765,93.65355479490489,87.70190308651847,99.10691122918608,100.0
Tot-N,2009,Glomma,,115.87782579501041,78.66104954666179,94.95187165775401,93.62325346501318,88.29428540967002,95.99046859536689,100.0
Tot-N,2010,Glomma,,110.32351371360686,75.79631834417073,88.1283422459893,94.39425397003535,87.49733461271923,93.8660799215965,100.0
Tot-N,2011,Glomma,,120.05991632375475,81.30598040113563,83.44385026737967,93.5581617193199,88.85934751319367,97.56478376586566,100.0
Tot-N,2012,Glomma,,119.72073483583272,81.11365509662056,95.27272727272727,96.98782335446944,91.19422677114984,99.15351134256368,100.0
Tot-N,2013,Glomma,,111.20331950207468,85.19827823060719,96.1283422459893,99.40295157398573,94.14081241004317,98.90129423407669,100.0
Tot-N,2014,Glomma,,124.52264940341935,91.77763531458926,92.36363636363636,84.38808147690926,87.50199904046057,97.83141328055189,100.0
Tot-N,2015,Glomma,inf,120.41114994576539,97.4191775803645,65.62566844919786,94.38976488412547,94.6605629297937,101.84526840704477,100.0
Tot-N,2016,Glomma,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Tot-N,2020,Glomma,,100.63876310669582,100.0,100.0,101.32428034341507,100.78695559464789,100.74512140050155,100.0
Tot-N,2025,Glomma,,100.95900552676434,100.0,100.0,105.91998204365636,103.51564582333813,102.80177176513543,100.0
Tot-N,2030,Glomma,,101.19143954133021,100.0,100.0,110.04096290892768,105.96180500026654,104.63070611182104,100.0
Tot-N,1995,Vest-Viken,inf,117.3769876475807,84.23922421230631,246.33379888268158,107.67433094609873,109.19265543473931,112.77429759655948,100.0
Tot-N,1996,Vest-Viken,inf,80.91517095475331,86.91375918832178,271.0719273743017,106.39527578841563,111.44700681084954,98.0856099691637,100.0
Tot-N,1997,Vest-Viken,inf,98.30410154917082,83.16250819615558,267.8596368715084,105.12375926623946,109.08909865774486,104.36934885353125,100.0
Tot-N,1998,Vest-Viken,inf,109.9365317682386,86.41336232184146,218.75000000000003,103.85224274406332,105.96248058310431,107.70161200002987,100.0
Tot-N,1999,Vest-Viken,inf,117.58684228485635,81.6371605066087,187.91899441340786,102.58826485739415,101.1085885742356,108.31983155756984,100.0
Tot-N,2000,Vest-Viken,inf,133.17409404217568,76.60558373882736,196.78770949720672,101.31172257821335,99.15428632121187,114.04134903272532,100.0
Tot-N,2001,Vest-Viken,inf,127.37323415000341,83.56972771508438,189.83938547486036,97.82133433848473,99.4556630952855,111.6722540374665,100.0
Tot-N,2002,Vest-Viken,,102.75199617825702,71.44631949477173,153.99790502793297,94.7606483226536,90.35328792766957,95.77923290003211,100.0
Tot-N,2003,Vest-Viken,,102.58650105780387,75.50816164544294,165.2409217877095,95.02952632240232,92.91167137982767,97.14633436121046,100.0
Tot-N,2004,Vest-Viken,,106.83136559066403,76.70221209925114,165.2409217877095,95.15014449051388,93.43742117072263,99.29890318293475,100.0
Tot-N,2005,Vest-Viken,,95.51286425987853,82.98305552679712,155.72625698324023,97.52481467521045,96.38480636210353,96.00322549334369,100.0
Tot-N,2006,Vest-Viken,,101.80679724288542,84.18400800634987,150.96019553072628,97.39163211458725,96.4126870328328,98.77326723063024,100.0
Tot-N,2007,Vest-Viken,,117.07329557087286,84.12188977464886,161.80167597765364,97.6027139087825,97.32478326097635,105.96716268582053,100.0
Tot-N,2008,Vest-Viken,,124.58540913123593,85.35045035717982,158.24022346368716,97.08757381580601,97.2557454096467,109.21505528883846,100.0
Tot-N,2009,Vest-Viken,,109.2796696922132,90.6305000517652,119.98952513966482,97.10516396532228,96.38480636210353,102.02787961144752,100.0
Tot-N,2010,Vest-Viken,,100.8957210127619,87.12427097353074,201.62360335195535,97.61276542279181,101.5148497762908,101.24390553485699,100.0
Tot-N,2011,Vest-Viken,,113.39145567460588,87.15533008938124,184.42737430167602,96.99711018972232,99.89246027004421,105.79991488281455,100.0
Tot-N,2012,Vest-Viken,,105.46133897495393,89.063740207751,112.50000000000001,98.38924488001005,95.89224784588627,100.07989069161447,100.0
Tot-N,2013,Vest-Viken,,110.30676312018016,90.49936156261863,111.0858938547486,99.31398416886543,96.82558648982355,102.72524321862424,100.0
Tot-N,2014,Vest-Viken,,125.9434928001092,94.20574938744522,121.87500000000001,79.94974242995352,88.84242110434009,105.07865873235126,100.0
Tot-N,2015,Vest-Viken,,120.4565617962192,94.37830003105913,118.22625698324023,94.5646437994723,96.35161508742581,106.90046515795211,100.0
Tot-N,2016,Vest-Viken,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Tot-N,2020,Vest-Viken,,100.36340681089197,100.0,100.0,101.4298278678226,100.75543341166474,100.58387402656552,100.0
Tot-N,2025,Vest-Viken,,100.54596328396916,100.0,100.0,105.51325543409975,102.91286626571606,101.87705793195106,100.0
Tot-N,2030,Vest-Viken,,100.67904183443663,100.0,100.0,109.0187209448423,104.76493939273243,102.97686156511092,100.0
Tot-N,1995,Rogaland,17.47921584727497,107.511564982107,112.1226583939864,138.7900355871886,75.98157001659689,60.71323819445147,77.88073617746129,100.0
Tot-N,1996,Rogaland,20.938109411885456,77.4548311076198,103.1619138527622,149.34756820877817,75.98157001659689,60.82853761896575,66.92772704568449,100.0
Tot-N,1997,Rogaland,24.2712716822334,103.79505978877542,103.39458298532395,149.8220640569395,75.98157001659689,62.19291414238468,77.45424505949103,100.0
Tot-N,1998,Rogaland,30.91706866468234,100.21471589421314,80.15749910511872,139.8181099248715,75.98157001659689,60.618166739150226,75.14376464862511,100.0
Tot-N,1999,Rogaland,32.75941701734579,110.49838526664921,69.11466412122658,142.506919731119,75.98157001659689,59.541027378556336,78.23422431127449,100.0
Tot-N,2000,Rogaland,65.98070409524787,115.94832853277472,68.20188521656127,134.83590351917755,75.98157001659689,72.28464798276578,88.30223235441028,100.0
Tot-N,2001,Rogaland,33.98593862260084,88.67766431002879,79.05977806944279,140.33214709371293,97.44358294731106,70.41659502594237,77.11548559792006,100.0
Tot-N,2002,Rogaland,36.059222005542445,95.84882604521253,40.28755518434554,159.98418347172796,96.97044762069905,64.97021431533382,76.29772409995006,100.0
Tot-N,2003,Rogaland,37.09586369701324,94.81365104303046,76.3393389810285,131.07947805456703,96.88127028165177,70.71698036875588,79.5566029278039,100.0
Tot-N,2004,Rogaland,47.6111054090116,102.65863664135463,78.5825080539315,122.77580071174377,97.07696499789442,75.10847248490488,85.21561495408497,100.0
Tot-N,2005,Rogaland,53.12275479831675,114.45404556166535,82.61543968500179,129.1814946619217,97.62936907032623,78.35405014513569,91.59697229728864,100.0
Tot-N,2006,Rogaland,51.880837524376474,99.3104652177708,85.95632979358072,119.73111901937524,97.74084074413535,78.2347051267788,85.96613686138399,100.0
Tot-N,2007,Rogaland,65.4444216360464,115.03709522562626,85.72366066101897,126.69039145907472,97.87212960439942,83.77312309730665,95.24199848871015,100.0
Tot-N,2008,Rogaland,73.77861028430668,115.87151959500741,82.35294117647058,99.92091735863977,97.93405831207114,85.82727337088994,96.84870451721974,100.0
Tot-N,2009,Rogaland,85.3510212460228,98.86183119490268,87.63274072306407,121.787267694741,98.06039287572146,91.89364133787788,94.44985207290053,100.0
Tot-N,2010,Rogaland,83.03140716411784,74.68272671729073,91.5702183510321,126.41360221431395,98.46416804974113,91.93207447938265,85.60432382586868,100.0
Tot-N,2011,Rogaland,84.2245714872216,109.27118792004887,92.38754325259515,111.8228548833531,98.79362877455473,92.30123491752046,98.52649239872437,100.0
Tot-N,2012,Rogaland,90.32895412090733,110.47394605917779,92.36367975181959,95.13641755634637,98.2189303673611,94.04185166830177,100.06980109888703,100.0
Tot-N,2013,Rogaland,86.6057682438674,99.88129527799599,94.86338145805989,97.78568604191379,98.30810770640838,93.10226249835647,95.58908285198325,100.0
Tot-N,2014,Rogaland,88.47121009955866,108.51880946146461,93.57475241617945,98.06247528667457,75.71403799945503,84.4001901429106,93.24786434252488,100.0
Tot-N,2015,Rogaland,93.45940675356667,126.2861132931832,98.04319293640377,94.5037564254646,86.90827119819663,91.6033699796709,104.32638737688751,100.0
Tot-N,2016,Rogaland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Tot-N,2020,Rogaland,100.0,100.441651392162,100.0,100.0,101.81079541232134,100.73933227473628,100.63013102114526,100.0
Tot-N,2025,Rogaland,100.0,100.66160425940473,100.0,100.0,103.76774257474794,101.53833705865101,101.21671640261786,100.0
Tot-N,2030,Rogaland,100.0,100.82395042332199,100.0,100.0,104.70658178305133,101.92165707523793,101.5183339950563,100.0
Tot-N,1995,Trøndelag,19.1857420706164,123.30223123732252,120.95078371928014,22.337662337662337,65.31323532013516,42.1669011089666,62.57167226441505,100.0
Tot-N,1996,Trøndelag,23.950852782764812,88.5371196754564,120.78952460814037,14.87603305785124,65.31323532013516,44.75994198916113,55.76948975469211,100.0
Tot-N,1997,Trøndelag,30.529997007779773,138.54929006085192,119.68006192349868,17.851239669421485,65.31323532013516,48.57099239970776,71.19927848220078,100.0
Tot-N,1998,Trøndelag,31.28553261520048,120.92981744421907,112.46210410888216,35.13577331759151,65.31323532013516,48.799982553131166,66.93954839841821,100.0
Tot-N,1999,Trøndelag,28.112844105326154,101.73793103448276,109.06276204605561,45.02951593860685,65.31323532013516,46.8911860599518,60.684625712641655,100.0
Tot-N,2000,Trøndelag,25.863068521843207,114.67910750507099,98.02618847964911,47.41440377804014,65.31323532013516,44.702694450805275,62.30110308971225,100.0
Tot-N,2001,Trøndelag,25.946289646918014,102.74888438133874,82.09378829903889,40.968122786304605,97.3727509155565,53.136074672598596,65.61322891458094,100.0
Tot-N,2002,Trøndelag,27.97071364452424,100.19797160243408,80.59085338321616,56.29279811097993,96.50230879464996,54.27393764925251,65.8233995404813,100.0
Tot-N,2003,Trøndelag,38.31538001196889,103.38336713995943,86.00270915306714,38.84297520661157,96.50584717725528,60.361804442408975,71.18091405857842,100.0
Tot-N,2004,Trøndelag,36.34612507480551,114.3156186612576,89.48590595368638,27.839433293978747,96.30239017744988,59.19122858669458,73.05449336636208,100.0
Tot-N,2005,Trøndelag,43.359141232794734,128.4024340770791,84.82229245952396,38.84297520661157,97.66466748049466,63.559488370571486,79.86647023535029,100.0
Tot-N,2006,Trøndelag,59.461961400359066,106.23123732251521,86.17686899309811,42.88075560802834,97.86989367160271,73.21960155713303,81.5217169511792,100.0
Tot-N,2007,Trøndelag,66.28983393177738,114.52332657200812,89.6923176159453,52.93978748524203,97.38513525467509,77.58131876519785,86.87188569982737,100.0
Tot-N,2008,Trøndelag,64.40473518850987,102.77160243407708,89.22789137586274,46.11570247933884,97.53905489800611,76.3322319997383,82.98148458000563,100.0
Tot-N,2009,Trøndelag,73.90690454817475,113.04178498985802,94.3752822034445,57.66233766233766,97.2772145852131,82.49370277078086,90.1762576569444,100.0
Tot-N,2010,Trøndelag,77.11325553560741,89.38093306288033,91.85964006966394,141.2987012987013,97.52313217628222,86.15809044020631,86.96860499757182,100.0
Tot-N,2011,Trøndelag,87.20825852782765,125.29168356997971,92.89814874540411,66.8004722550177,97.79204925428586,90.49472777432474,99.24542623827227,100.0
Tot-N,2012,Trøndelag,97.9400433871933,121.92941176470588,92.49822614977747,50.43683589138134,97.6912053500345,96.30889681267516,102.75262305184071,100.0
Tot-N,2013,Trøndelag,82.41509575104728,104.78052738336714,93.2013158743469,140.7319952774498,98.52095607097995,89.65727807037631,93.46063279722819,100.0
Tot-N,2014,Trøndelag,111.85386744464392,84.62312373225151,97.47790750177386,82.66824085005904,86.33653556959113,102.08762689871001,97.69546888454491,100.0
Tot-N,2015,Trøndelag,83.35858019150211,121.17322515212982,98.21969941301684,74.94687131050766,88.78686552376908,86.11229240952161,94.92978668701716,100.0
Tot-N,2016,Trøndelag,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Tot-N,2020,Trøndelag,100.0,100.30993914807303,100.0,100.0,101.56927268545547,100.48360539544417,100.43992997033125,100.0
Tot-N,2025,Trøndelag,100.0,100.4657200811359,100.0,100.0,104.79627762149921,101.47753170423196,101.22307061324932,100.0
Tot-N,2030,Trøndelag,100.0,100.57768762677485,100.0,100.0,107.26606868000637,102.23919657169026,101.82175082333832,100.0
